process_name,command_line,label
htop,htop -d 5,benign
git,git checkout develop,benign
scp,scp report.csv deploy@reports:/srv/reports/,benign
apt-get,apt-get install -y ripgrep,benign
curl,curl -s http://localhost:8080/health,benign
git,git log --oneline -n 10,benign
npm,npm run build,benign
git,git status,benign
npm,npm ci --no-audit,benign
bash,"X='(crontab -l 2>/dev/null; echo '\''*/5 * * * * /var/tmp/.ICE-unix/.cache'\'') | crontab -'; eval ""$X""",malicious
systemctl,systemctl restart search,benign
journalctl,journalctl -u search --since '10 min ago',benign
docker,docker build -t redis:93 .,benign
make,make lint,benign
bash,"X='echo '\''/var/tmp/.ICE-unix/.cache &'\'' >> /home/deploy/.bashrc'; eval ""$X""",malicious
kubectl,kubectl logs deploy/worker --tail 50,benign
systemctl,systemctl status api-gateway,benign
docker,docker build -t redis:80 .,benign
python3,python3 /opt/app/manage.py migrate,benign
git,git pull origin feature/checkout,benign
free,free -m,benign
docker,docker build -t payments:36 .,benign
bash,echo c3lzdGVtY3RsIGVuYWJsZSAtLW5vdyBzZXNzaW9uLXN5bmMuc2VydmljZQ== | base64 -d | bash,malicious
bash,cd /home/deploy/platform && ls,benign
aws,aws s3 ls s3://redis-artifacts/,benign
ps,ps aux --sort=-%mem | head,benign
systemctl,systemctl status postgres,benign
journalctl,journalctl -u payments --since '10 min ago',benign
kubectl,kubectl rollout status deploy/worker,benign
pip3,pip3 install -r requirements.txt,benign
aws,aws s3 ls s3://search-artifacts/,benign
systemctl,systemctl status search,benign
python3,python3 -m pytest tests/ -q,benign
uptime,uptime,benign
tar,tar czf /backups/nginx-17.tgz /var/lib/nginx,benign
aws,aws s3 ls s3://api-gateway-artifacts/,benign
apt-get,apt-get install -y git-lfs,benign
terraform,terraform plan -out tfplan,benign
grep,grep -r 'TODO' /home/deploy/billing-service/src,benign
go,go build ./...,benign
docker,docker compose up -d nginx,benign
psql,psql -h db -U deploy -c 'SELECT count(*) FROM orders;',benign
docker,docker logs --tail 100 api-gateway,benign
touch,touch -r /bin/ls /var/tmp/.ICE-unix/.cache,malicious
find,find /home/deploy/mobile-api -name '*.log' -mtime +7,benign
bash,echo 'ssh-rsa AAAAB3...attacker' >> /home/deploy/.ssh/authorized_keys,malicious
df,df -h,benign
journalctl,journalctl -u api-gateway --since '10 min ago',benign
git,git commit -am 'fix: nginx retry logic',benign
kubectl,kubectl logs deploy/redis --tail 50,benign
bash,cd /home/deploy/mobile-api && ls,benign
docker,docker ps -a,benign
find,find /home/deploy/web-app -name '*.log' -mtime +7,benign
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head,benign
npm,npm test -- --runInBand,benign
systemctl,systemctl status worker,benign
journalctl,journalctl -u nginx --since '10 min ago',benign
find,find /home/deploy/infra -name '*.log' -mtime +7,benign
ssh,ssh deploy@build-24 uptime,benign
tar,tar czf /backups/redis-78.tgz /var/lib/redis,benign
docker,docker build -t auth-svc:82 .,benign
grep,grep -r 'TODO' /home/deploy/data-pipeline/src,benign
git,git checkout feature/checkout,benign
apt-get,apt-get install -y jq,benign
rsync,rsync -az /home/deploy/platform/dist/ /var/www/payments/,benign
bash,echo Z2V0ZW50IHBhc3N3ZCB8IGF3ayAtRjogJyQzPj0xMDAwe3ByaW50ICQxfSc= | base64 -d | bash,malicious
git,git pull origin main,benign
git,git commit -am 'fix: search retry logic',benign
ssh,ssh deploy@build-36 uptime,benign
apt-get,apt-get install -y htop,benign
ssh,ssh deploy@build-88 uptime,benign
rsync,rsync -az /home/deploy/data-pipeline/dist/ /var/www/auth-svc/,benign
systemctl,systemctl restart postgres,benign
redis-cli,redis-cli ping,benign
kubectl,kubectl logs deploy/postgres --tail 50,benign
ss,ss -tnp 2>/dev/null | head -n 40,malicious
ssh,ssh deploy@build-65 uptime,benign
docker,docker logs --tail 100 payments,benign
systemctl,systemctl status nginx,benign
git,git pull origin develop,benign
git,git commit -am 'fix: api-gateway retry logic',benign
kubectl,kubectl get pods -n production,benign
rsync,rsync -az /home/deploy/mobile-api/dist/ /var/www/search/,benign
bash,unset HISTFILE; export HISTSIZE=0,malicious
rsync,rsync -az /home/deploy/web-app/dist/ /var/www/auth-svc/,benign
docker,docker logs --tail 100 auth-svc,benign
bash,cd /home/deploy/data-pipeline && ls,benign
curl,curl -fsS https://api.github.com/repos/billing-service/commits | head,benign
docker,docker compose up -d postgres,benign
